sklearn Coefficients
==================================================
Bias Term      : 0.016498
V324           : -0.014142
V325           : -0.005714
V326           : -0.004286
V327           : -0.011645
V328           : -0.051854
V329           : -0.038002
V330           : -0.014112
V331           : 0.009351
V332           : 0.011451
V333           : -0.010785
V334           : -0.018503
V335           : -0.010054
V336           : -0.035303
V337           : -0.002193
V338           : -0.002504
V339           : 0.001937
V340           : 0.005134
V341           : -0.019782
V342           : -0.004846
V343           : -0.027464
V344           : -0.038848
V345           : 0.022338
V346           : -0.003297
V347           : -0.002713
V348           : 0.004833
V349           : 0.002735
V350           : 0.013060
V351           : 0.009962
V352           : -0.003592
V353           : 0.005334
V354           : 0.007989
V355           : 0.007636
V356           : -0.016195
V357           : 0.006229
V358           : -0.014310
V359           : 0.000990
V360           : 0.000468
V361           : -0.002836
V362           : -0.018185
V363           : -0.008320
V364           : -0.010918
V365           : -0.017179
V366           : -0.000658
V367           : -0.013974
V368           : -0.010739
V369           : 0.001397
V370           : -0.002772
V371           : -0.004004
V372           : -0.003920
V373           : 0.000764
V374           : -0.003914
V375           : -0.013383
V376           : -0.077306
V377           : 0.082180
V378           : 0.000314
V379           : -0.005610
V380           : 0.023071
V381           : 0.019441
V382           : 0.002959
V383           : -0.002173
V384           : -0.005724
V385           : -0.006111
V386           : -0.004825
V387           : 0.007652
V388           : -0.020835
V389           : 0.027381
V390           : -0.019619
V391           : -0.008654
V392           : -0.005028
V393           : -0.042818
V394           : -0.024564
V395           : 0.000003
V396           : 0.007525
V397           : -0.036191
V398           : -0.019312
V399           : 0.010585
V400           : 0.013415
V401           : -0.015761
V402           : 0.007451
V403           : 0.002795
V404           : 0.004697
V405           : 0.006645
V406           : -0.029752
V407           : -0.013918
V408           : -0.000205
V409           : -0.000893
V410           : -0.003724
V411           : -0.010169
V412           : -0.002101
V413           : 0.002529
V414           : 0.013869
V415           : 0.004018
V416           : 0.010289
V417           : 0.029925
V418           : 0.023553
V419           : 0.032843
V420           : -0.014393
V421           : -0.034829
V422           : -0.008592
V423           : 0.005054
V424           : -0.018600
V425           : -0.018771
V426           : 0.011978
V427           : 0.001240
V428           : -0.021561
V429           : 0.011528
V430           : 0.017638
V431           : 0.005963
V432           : -0.001037
V433           : 0.017776
V434           : -0.021214
V435           : 0.041296
V436           : 0.010089
V437           : -0.004191
V438           : -0.003815
V439           : -0.003473
V440           : -0.012699
V441           : 0.011327
V442           : 0.009855
V443           : -0.005236
V444           : -0.008414
V445           : -0.027091
V446           : -0.003684
V447           : -0.007815
V448           : -0.020811
V449           : 0.021218
V450           : -0.001663
V451           : -0.018689
V452           : -0.010201
V453           : -0.018674
V454           : -0.009428
V455           : 0.004913
V456           : 0.011802
V457           : -0.003162
V458           : 0.000080
V459           : -0.022419
V460           : -0.016912
V461           : -0.021023
V462           : 0.004690
V463           : -0.000466
V464           : -0.003906
V465           : -0.009573
V466           : -0.010333
V467           : -0.013047
V468           : -0.009775
V469           : 0.018205
V470           : 0.011380
V471           : -0.010697
V472           : -0.003569
V473           : 0.005787
V474           : 0.058237
V475           : 0.014290
V476           : 0.002470
V477           : -0.016974
V478           : -0.017785
V479           : 0.011958
V480           : 0.008508
V481           : 0.011070
V482           : 0.015877
V483           : -0.005733
V484           : 0.002701
V485           : -0.013864
V486           : 0.004051
V487           : -0.005601
V488           : -0.039056
V489           : -0.014243
V490           : -0.016848
V491           : -0.001706
V492           : -0.016711
V493           : -0.014629
V494           : 0.001686
V495           : 0.035007
V496           : 0.021702
V497           : 0.036845
V498           : -0.002328
V499           : -0.008213
V500           : -0.004874
V501           : -0.015964
V502           : -0.012584
V503           : -0.027046
V504           : 0.007975
V505           : -0.041419
V506           : -0.010001
V507           : 0.003953
V508           : 0.040377
V509           : -0.001437
V510           : 0.017241
V511           : 0.022123
V512           : 0.002259
V513           : -0.024066
V514           : -0.067224
V515           : -0.008714
V516           : 0.010563
V517           : 0.007064
V518           : 0.004747
V519           : -0.012299
V520           : 0.052248
V521           : -0.024865
V522           : -0.043537
V523           : -0.028101
V524           : 0.001672
