custom_lambda_0.0001 Coefficients
==================================================
Bias Term      : 0.007774
V323           : 0.002392
V324           : -0.008403
V325           : -0.007746
V326           : -0.006326
V327           : -0.015396
V328           : -0.012652
V329           : 0.001608
V330           : -0.009140
V331           : -0.007442
V332           : -0.008502
V333           : -0.003441
V334           : 0.004316
V335           : -0.019569
V336           : 0.006123
V337           : -0.001422
V338           : -0.007209
V339           : 0.004667
V340           : -0.004885
V341           : -0.008691
V342           : -0.008048
V343           : -0.008249
V344           : -0.009395
V345           : -0.011630
V346           : 0.007131
V347           : -0.007739
V348           : -0.006011
V349           : -0.004879
V350           : -0.001275
V351           : -0.001341
V352           : 0.002115
V353           : -0.008044
V354           : -0.000505
V355           : 0.009692
V356           : -0.008094
V357           : -0.011917
V358           : -0.008576
V359           : -0.008078
V360           : -0.008936
V361           : 0.007248
V362           : -0.007612
V363           : -0.015947
V364           : -0.014865
V365           : -0.007601
V366           : 0.004515
V367           : 0.008212
V368           : -0.009572
V369           : -0.008851
V370           : -0.014250
V371           : -0.008129
V372           : 0.008844
V373           : -0.000285
V374           : -0.002368
V375           : 0.008241
V376           : -0.010422
V377           : -0.003530
V378           : 0.006226
V379           : -0.000854
V380           : 0.011215
V381           : 0.007343
V382           : -0.001843
V383           : 0.005450
V384           : 0.006310
V385           : 0.008311
V386           : 0.004514
V387           : -0.006559
V388           : 0.017789
V389           : 0.003751
V390           : 0.008997
V391           : 0.004312
V392           : 0.003897
V393           : -0.008891
V394           : 0.002231
V395           : 0.002101
V396           : 0.005719
V397           : 0.008105
V398           : 0.002747
V399           : 0.001036
V400           : 0.007534
V401           : 0.005942
V402           : -0.009154
V403           : 0.013033
V404           : 0.009760
V405           : -0.006229
V406           : -0.005980
V407           : -0.012120
V408           : 0.003680
V409           : -0.008329
V410           : 0.008820
V411           : 0.012084
V412           : -0.008046
V413           : 0.011325
V414           : -0.010783
V415           : 0.013855
V416           : -0.005744
V417           : 0.012883
V418           : 0.000012
V419           : 0.009626
V420           : -0.000124
V421           : -0.008891
V422           : 0.001618
V423           : -0.002743
V424           : -0.004847
V425           : 0.004622
V426           : -0.008763
V427           : 0.013983
V428           : -0.007542
V429           : -0.008773
V430           : -0.005957
V431           : -0.002099
V432           : -0.003488
V433           : 0.006266
V434           : 0.013812
V435           : 0.004725
