custom_lambda_0.0001 Coefficients
==================================================
Bias Term      : -0.005637
V1             : 0.005340
V2             : 0.004825
V3             : 0.004771
V4             : 0.005971
V5             : 0.003924
V6             : -0.000156
V7             : 0.005799
V8             : -0.001239
V9             : 0.005614
V10            : 0.005835
V11            : 0.001141
V12            : 0.005334
V13            : 0.005925
V14            : -0.002956
V15            : -0.000828
V16            : -0.001921
V17            : -0.003128
V18            : -0.001704
V19            : -0.001524
V20            : 0.005661
V21            : 0.004491
V22            : 0.004866
V23            : -0.004486
V24            : -0.005069
V25            : -0.004549
V26            : 0.005368
V27            : 0.005651
V28            : 0.000375
V29            : 0.001850
V30            : 0.005875
V31            : -0.004484
V32            : 0.005770
V33            : 0.002196
V34            : 0.005633
V36            : 0.006116
V38            : 0.006070
V39            : 0.003150
V40            : 0.006199
V41            : 0.006212
V42            : 0.004816
V43            : 0.005915
V45            : 0.005045
V46            : 0.005723
V47            : 0.005826
V48            : 0.005338
V49            : -0.002499
V50            : 0.005640
V51            : 0.006046
V52            : 0.005777
V55            : -0.004881
V56            : 0.005880
V57            : -0.004663
V58            : 0.005998
V59            : -0.001659
V60            : 0.006047
V61            : 0.001796
V62            : 0.004505
V63            : 0.000354
V64            : 0.004864
V65            : 0.001346
V67            : 0.006037
V68            : 0.005421
V69            : 0.000046
V70            : 0.006479
V71            : -0.003671
V72            : 0.006319
V73            : -0.001338
V74            : -0.004393
V75            : 0.000789
V76            : 0.004010
V77            : 0.005264
V78            : 0.005166
V79            : 0.002262
V80            : -0.005871
V82            : -0.001887
V83            : 0.005872
V84            : 0.006224
V85            : 0.005802
V86            : 0.006085
V87            : -0.002503
V88            : 0.006049
V89            : 0.002800
V90            : 0.006129
V91            : 0.006300
V92            : 0.002590
V93            : 0.001402
V94            : 0.001413
V95            : 0.005429
V96            : -0.001036
V99            : 0.005673
V100           : -0.005627
V101           : 0.004675
V102           : 0.005951
V103           : -0.001341
V104           : -0.002403
V106           : 0.002939
V107           : -0.003381
V108           : -0.001606
V110           : -0.001618
V111           : -0.002811
V112           : 0.001110
V113           : 0.007080
V114           : 0.005503
V115           : 0.007272
V116           : 0.000385
V117           : 0.005284
V118           : -0.001274
V119           : 0.001952
V120           : 0.005915
V121           : 0.006326
V122           : -0.002784
V124           : -0.001833
V125           : 0.006257
V129           : 0.005911
V130           : 0.005486
V131           : 0.004754
V132           : -0.003225
V133           : -0.002017
V134           : 0.005424
V135           : -0.001550
V136           : 0.005890
V137           : -0.005851
V138           : 0.003880
V139           : 0.001710
V140           : 0.005773
V143           : 0.005955
V146           : 0.001745
V147           : 0.000806
V148           : -0.004045
V151           : -0.001338
V152           : 0.007305
V153           : -0.006461
V154           : 0.005266
V155           : 0.004787
V156           : 0.006121
V157           : -0.002408
V159           : -0.002703
V160           : -0.001650
V161           : -0.001402
V162           : 0.003390
V163           : 0.005388
V165           : 0.003767
V166           : -0.004596
V167           : -0.006810
V168           : 0.005434
V169           : 0.005977
V170           : 0.006040
V172           : 0.006013
V173           : 0.000327
V174           : 0.005183
V175           : -0.000073
V177           : 0.002889
V178           : 0.004306
V179           : -0.005020
V180           : 0.005966
V181           : 0.005889
V182           : -0.005472
V183           : 0.000059
V184           : -0.002600
V185           : 0.004803
V186           : -0.002982
V187           : 0.001599
V188           : 0.005804
V190           : -0.006083
V192           : 0.004058
V194           : 0.005527
V195           : 0.006217
V196           : 0.005804
V197           : -0.003413
V198           : 0.000456
V199           : 0.003930
V201           : 0.006661
V202           : -0.002774
V203           : 0.005364
V204           : 0.006243
V205           : 0.005999
V207           : 0.003992
V208           : 0.005096
V209           : -0.001234
V210           : 0.005279
V211           : 0.006029
V212           : 0.006001
V213           : 0.006068
V214           : 0.006083
V216           : 0.005996
V217           : 0.006015
V218           : 0.005618
V219           : 0.003166
V220           : 0.005976
V221           : -0.004701
V222           : -0.002097
V224           : 0.005994
V225           : -0.004244
V226           : 0.006014
V227           : 0.005650
V228           : 0.005746
V229           : 0.005194
V230           : 0.005979
V231           : -0.000140
V232           : -0.001704
V233           : 0.005762
V234           : 0.001735
V235           : 0.004936
V238           : 0.005486
V240           : 0.008208
V242           : -0.002459
V244           : 0.005873
V249           : 0.004915
V253           : 0.006154
V254           : 0.005808
V255           : 0.000445
V256           : -0.004919
V257           : 0.005899
V259           : 0.004675
V260           : -0.003720
V262           : -0.005268
V263           : -0.001542
