custom_lambda_0.0002 Coefficients
==================================================
Bias Term      : -0.005636
V1             : 0.005338
V2             : 0.004823
V3             : 0.004770
V4             : 0.005970
V5             : 0.003923
V6             : -0.000155
V7             : 0.005798
V8             : -0.001239
V9             : 0.005613
V10            : 0.005834
V11            : 0.001139
V12            : 0.005333
V13            : 0.005924
V14            : -0.002956
V15            : -0.000828
V16            : -0.001921
V17            : -0.003127
V18            : -0.001704
V19            : -0.001524
V20            : 0.005659
V21            : 0.004490
V22            : 0.004865
V23            : -0.004485
V24            : -0.005068
V25            : -0.004548
V26            : 0.005367
V27            : 0.005650
V28            : 0.000372
V29            : 0.001848
V30            : 0.005874
V31            : -0.004483
V32            : 0.005769
V33            : 0.002194
V34            : 0.005631
V36            : 0.006115
V38            : 0.006069
V39            : 0.003149
V40            : 0.006198
V41            : 0.006211
V42            : 0.004815
V43            : 0.005914
V45            : 0.005044
V46            : 0.005722
V47            : 0.005825
V48            : 0.005336
V49            : -0.002498
V50            : 0.005639
V51            : 0.006045
V52            : 0.005775
V55            : -0.004880
V56            : 0.005879
V57            : -0.004662
V58            : 0.005997
V59            : -0.001659
V60            : 0.006046
V61            : 0.001794
V62            : 0.004504
V63            : 0.000352
V64            : 0.004862
V65            : 0.001344
V67            : 0.006036
V68            : 0.005420
V69            : 0.000044
V70            : 0.006478
V71            : -0.003670
V72            : 0.006318
V73            : -0.001336
V74            : -0.004392
V75            : 0.000788
V76            : 0.004009
V77            : 0.005263
V78            : 0.005164
V79            : 0.002260
V80            : -0.005870
V82            : -0.001887
V83            : 0.005871
V84            : 0.006222
V85            : 0.005800
V86            : 0.006084
V87            : -0.002503
V88            : 0.006048
V89            : 0.002799
V90            : 0.006128
V91            : 0.006299
V92            : 0.002588
V93            : 0.001401
V94            : 0.001411
V95            : 0.005428
V96            : -0.001035
V99            : 0.005673
V100           : -0.005626
V101           : 0.004674
V102           : 0.005950
V103           : -0.001338
V104           : -0.002402
V106           : 0.002937
V107           : -0.003380
V108           : -0.001606
V110           : -0.001618
V111           : -0.002811
V112           : 0.001108
V113           : 0.007078
V114           : 0.005502
V115           : 0.007271
V116           : 0.000383
V117           : 0.005283
V118           : -0.001274
V119           : 0.001950
V120           : 0.005914
V121           : 0.006325
V122           : -0.002783
V124           : -0.001833
V125           : 0.006256
V129           : 0.005910
V130           : 0.005485
V131           : 0.004753
V132           : -0.003223
V133           : -0.002016
V134           : 0.005423
V135           : -0.001550
V136           : 0.005889
V137           : -0.005850
V138           : 0.003878
V139           : 0.001708
V140           : 0.005772
V143           : 0.005954
V146           : 0.001744
V147           : 0.000805
V148           : -0.004044
V151           : -0.001337
V152           : 0.007301
V153           : -0.006461
V154           : 0.005265
V155           : 0.004785
V156           : 0.006120
V157           : -0.002407
V159           : -0.002702
V160           : -0.001649
V161           : -0.001400
V162           : 0.003388
V163           : 0.005386
V165           : 0.003765
V166           : -0.004596
V167           : -0.006809
V168           : 0.005432
V169           : 0.005976
V170           : 0.006040
V172           : 0.006012
V173           : 0.000325
V174           : 0.005182
V175           : -0.000072
V177           : 0.002888
V178           : 0.004305
V179           : -0.005019
V180           : 0.005966
V181           : 0.005888
V182           : -0.005471
V183           : 0.000058
V184           : -0.002598
V185           : 0.004801
V186           : -0.002982
V187           : 0.001597
V188           : 0.005803
V190           : -0.006081
V192           : 0.004057
V194           : 0.005526
V195           : 0.006216
V196           : 0.005803
V197           : -0.003412
V198           : 0.000455
V199           : 0.003929
V201           : 0.006659
V202           : -0.002773
V203           : 0.005363
V204           : 0.006241
V205           : 0.005998
V207           : 0.003991
V208           : 0.005095
V209           : -0.001232
V210           : 0.005279
V211           : 0.006028
V212           : 0.006000
V213           : 0.006067
V214           : 0.006082
V216           : 0.005995
V217           : 0.006013
V218           : 0.005617
V219           : 0.003165
V220           : 0.005975
V221           : -0.004700
V222           : -0.002097
V224           : 0.005993
V225           : -0.004242
V226           : 0.006013
V227           : 0.005649
V228           : 0.005745
V229           : 0.005192
V230           : 0.005978
V231           : -0.000137
V232           : -0.001701
V233           : 0.005761
V234           : 0.001733
V235           : 0.004935
V238           : 0.005485
V240           : 0.008207
V242           : -0.002459
V244           : 0.005872
V249           : 0.004914
V253           : 0.006153
