custom_lambda_0.0048 Coefficients
==================================================
Bias Term      : -0.005579
V1             : 0.005229
V2             : 0.004722
V3             : 0.004674
V4             : 0.005902
V5             : 0.003811
V6             : -0.000066
V7             : 0.005683
V8             : -0.001236
V9             : 0.005481
V10            : 0.005774
V11            : 0.001004
V12            : 0.005241
V13            : 0.005864
V14            : -0.002920
V15            : -0.000810
V16            : -0.001911
V17            : -0.003101
V18            : -0.001694
V19            : -0.001519
V20            : 0.005579
V21            : 0.004400
V22            : 0.004771
V23            : -0.004440
V24            : -0.004991
V25            : -0.004482
V26            : 0.005266
V27            : 0.005562
V28            : 0.000175
V29            : 0.001714
V30            : 0.005792
V31            : -0.004445
V32            : 0.005698
V33            : 0.002053
V34            : 0.005542
V36            : 0.006047
V38            : 0.006005
V39            : 0.003078
V40            : 0.006088
V41            : 0.006106
V42            : 0.004701
V43            : 0.005845
V45            : 0.004935
V46            : 0.005658
V47            : 0.005751
V48            : 0.005240
V49            : -0.002372
V50            : 0.005554
V51            : 0.005965
V52            : 0.005649
V55            : -0.004807
V56            : 0.005767
V57            : -0.004623
V58            : 0.005902
V59            : -0.001630
V60            : 0.005970
V61            : 0.001647
V62            : 0.004404
V63            : 0.000211
V64            : 0.004743
V65            : 0.001251
V67            : 0.005963
V68            : 0.005348
V69            : 0.000000
V70            : 0.006370
V71            : -0.003648
V72            : 0.006238
V73            : -0.001154
V74            : -0.004292
V75            : 0.000724
V76            : 0.003902
V77            : 0.005180
V78            : 0.005029
V79            : 0.002150
V80            : -0.005789
V82            : -0.001881
V83            : 0.005803
V84            : 0.006109
V85            : 0.005698
V86            : 0.005997
V87            : -0.002485
V88            : 0.005986
V89            : 0.002674
V90            : 0.006048
V91            : 0.006208
V92            : 0.002441
V93            : 0.001366
V94            : 0.001284
V95            : 0.005347
V96            : -0.000981
V99            : 0.005610
V100           : -0.005509
V101           : 0.004560
V102           : 0.005871
V103           : -0.001168
V104           : -0.002340
V106           : 0.002778
V107           : -0.003348
V108           : -0.001599
V110           : -0.001613
V111           : -0.002754
V112           : 0.000950
V113           : 0.006993
V114           : 0.005426
V115           : 0.007143
V116           : 0.000297
V117           : 0.005187
V118           : -0.001267
V119           : 0.001799
V120           : 0.005833
V121           : 0.006223
V122           : -0.002660
V124           : -0.001770
V125           : 0.006176
V129           : 0.005841
V130           : 0.005401
V131           : 0.004646
V132           : -0.003064
V133           : -0.001939
V134           : 0.005320
V135           : -0.001543
V136           : 0.005806
V137           : -0.005745
V138           : 0.003745
V139           : 0.001591
V140           : 0.005673
V143           : 0.005872
V146           : 0.001619
V147           : 0.000677
V148           : -0.003924
V151           : -0.001237
V152           : 0.007039
V153           : -0.006397
V154           : 0.005177
V155           : 0.004681
V156           : 0.006040
V157           : -0.002295
V159           : -0.002687
V160           : -0.001628
V161           : -0.001305
V162           : 0.003228
V163           : 0.005296
V165           : 0.003616
V166           : -0.004549
V167           : -0.006703
V168           : 0.005323
V169           : 0.005914
V170           : 0.005973
V172           : 0.005935
V173           : 0.000191
V174           : 0.005067
V175           : -0.000000
V177           : 0.002741
V178           : 0.004222
V179           : -0.004952
V180           : 0.005895
V181           : 0.005812
V182           : -0.005405
V183           : 0.000000
V184           : -0.002500
V185           : 0.004713
V186           : -0.002948
V187           : 0.001450
V188           : 0.005726
V190           : -0.005903
V192           : 0.003943
V194           : 0.005430
V195           : 0.006144
V196           : 0.005735
V197           : -0.003315
V198           : 0.000384
V199           : 0.003851
V201           : 0.006563
V202           : -0.002700
V203           : 0.005286
V204           : 0.006161
V205           : 0.005938
V207           : 0.003889
V208           : 0.005017
V209           : -0.001135
V210           : 0.005213
V211           : 0.005959
V212           : 0.005924
V213           : 0.006006
V214           : 0.006003
V216           : 0.005913
V217           : 0.005903
V218           : 0.005553
V219           : 0.003043
V220           : 0.005886
V221           : -0.004628
V222           : -0.002056
V224           : 0.005926
V225           : -0.004096
V226           : 0.005945
V227           : 0.005585
V228           : 0.005664
V229           : 0.005074
V230           : 0.005892
V231           : -0.000000
V232           : -0.001507
V233           : 0.005694
V234           : 0.001574
V235           : 0.004850
V238           : 0.005400
V240           : 0.008092
V242           : -0.002440
V244           : 0.005805
V249           : 0.004827
V253           : 0.006081
V254           : 0.005743
V255           : 0.000353
V256           : -0.004874
V257           : 0.005817
V259           : 0.004599
V260           : -0.003621
V262           : -0.005133
V263           : -0.001420
V264           : 0.005160
V265           : 0.003714
V267           : 0.006509
V268           : 0.004911
V269           : -0.005167
V273           : -0.000000
V274           : 0.005663
V275           : 0.005850
V276           : 0.005118
V278           : 0.002964
V279           : 0.005633
V280           : 0.005778
V283           : 0.005437
V284           : 0.006004
V285           : 0.000927
V286           : -0.006727
V287           : -0.003403
V289           : -0.004188
V290           : -0.002752
V293           : 0.006063
V294           : 0.005672
V295           : 0.005849
V297           : 0.005089
V298           : 0.000453
V299           : 0.005802
V300           : 0.005829
V301           : 0.003081
V302           : 0.004391
V304           : 0.001225
V305           : 0.002795
V310           : 0.005665
V313           : -0.002025
V314           : 0.004799
V315           : 0.004773
V316           : 0.005700
V317           : -0.001369
V319           : 0.006303
V320           : -0.002929
V322           : -0.004672
V325           : 0.005515
V326           : -0.004970
V327           : 0.006712
V329           : 0.007567
V331           : 0.000795
V334           : 0.005013
V335           : -0.004330
V336           : 0.005051
V337           : 0.005618
V339           : 0.003825
V340           : -0.004753
V341           : 0.005377
V342           : 0.005433
V343           : 0.002050
V344           : -0.001621
V345           : 0.005146
V346           : 0.001932
V348           : 0.005538
V349           : 0.002567
V350           : 0.004472
V353           : 0.005436
V356           : 0.004740
V357           : 0.005318
V358           : 0.003075
V360           : 0.005487
V361           : 0.005821
V362           : 0.001387
V364           : 0.005525
V366           : 0.005457
V367           : 0.005776
V368           : 0.004207
V369           : 0.005649
V370           : -0.002830
V373           : 0.005952
V374           : 0.005726
V375           : 0.004052
V377           : -0.005275
V378           : 0.005195
V379           : 0.004087
V383           : -0.005586
V384           : 0.000637
V385           : 0.006042
V387           : 0.004403
V388           : 0.001734
V389           : 0.000912
V390           : 0.004349
V391           : 0.003321
V392           : 0.004107
V393           : -0.000812
V394           : 0.005713
V395           : 0.003254
V396           : -0.005022
V397           : 0.005609
V399           : 0.006468
V400           : 0.006752
V404           : 0.004789
V405           : 0.000412
V406           : 0.004215
V407           : 0.009273
V408           : 0.008249
V409           : -0.005717
V410           : 0.005737
V411           : 0.005621
V412           : 0.003806
V413           : -0.000773
V414           : 0.005925
V415           : 0.005970
V416           : -0.004734
V417           : 0.003663
V419           : -0.000431
V420           : 0.006365
V421           : 0.003347
V422           : -0.001354
V424           : 0.006097
V425           : 0.004300
V428           : -0.001730
V430           : 0.001553
V435           : 0.004077
V437           : 0.005776
V442           : 0.004450
V443           : 0.005234
V444           : 0.002691
V445           : 0.002555
V446           : 0.003187
V448           : 0.000847
V449           : 0.004239
V450           : 0.006070
V451           : 0.000931
V452           : 0.000899
V453           : 0.005411
V456           : 0.005706
V459           : 0.005592
V460           : 0.002147
V461           : 0.000000
V462           : 0.005658
V463           : 0.003145
V464           : 0.005569
V466           : -0.002427
V467           : -0.004196
V469           : -0.001847
V471           : 0.006071
V472           : 0.005553
V473           : 0.005430
V475           : 0.002890
