sklearn Coefficients
==================================================
Bias Term      : -0.011369
V410           : -0.003614
V411           : -0.027428
V412           : -0.009015
V413           : 0.028989
V414           : -0.005679
V415           : -0.009923
V416           : 0.018092
V417           : -0.002301
V419           : 0.046908
V420           : -0.038208
V421           : 0.021833
V422           : 0.014534
V424           : -0.023943
V425           : 0.051955
V428           : 0.019607
V430           : -0.006181
V435           : -0.007645
V437           : 0.001501
V442           : -0.007815
V443           : -0.022841
V444           : 0.002458
V445           : -0.001234
V446           : 0.059227
V448           : -0.037625
V449           : 0.016485
V450           : -0.004171
V451           : 0.062220
V452           : -0.010115
V453           : 0.004339
V456           : -0.003325
V459           : -0.025717
V460           : -0.022030
V461           : 0.000734
V462           : 0.008397
V463           : -0.004799
V464           : -0.045160
V466           : -0.094361
V467           : -0.020738
V469           : 0.022949
V471           : -0.014046
V472           : -0.008413
V473           : 0.016265
V475           : 0.005443
V477           : -0.021175
V479           : -0.016564
V480           : -0.006707
V481           : -0.016215
V482           : 0.043769
V483           : 0.012233
V484           : 0.005602
V485           : 0.046080
V486           : -0.035445
V489           : -0.010254
V490           : -0.004270
V491           : -0.021561
V492           : -0.009657
V493           : -0.059438
V494           : 0.048278
V496           : -0.012344
V498           : -0.037089
V499           : -0.005432
V500           : -0.026948
V501           : 0.002006
V502           : 0.004984
V504           : -0.015517
V505           : 0.010524
V506           : -0.010600
V507           : -0.001125
V508           : -0.000402
V509           : -0.003154
V512           : -0.004203
V513           : -0.015957
V514           : -0.017425
V517           : 0.003019
V519           : -0.004194
V521           : 0.007243
V522           : 0.019172
V523           : 0.013334
V524           : -0.006283
V525           : -0.006318
V528           : -0.003614
V529           : -0.014032
V530           : -0.002075
V531           : -0.058886
V532           : 0.006603
V533           : 0.009499
V534           : 0.004616
V537           : -0.015553
V539           : -0.024667
V540           : 0.026874
V542           : -0.020223
V543           : -0.007465
V544           : -0.002638
V545           : -0.055894
V547           : -0.011114
V548           : -0.004719
V549           : -0.036297
V550           : -0.016072
V556           : 0.005307
V557           : 0.018142
V558           : -0.000744
V559           : -0.008493
V560           : -0.010185
V561           : -0.020843
V562           : -0.010643
V563           : -0.020518
V564           : 0.016193
V565           : -0.004630
V567           : 0.000736
V568           : 0.002482
V571           : -0.005103
V572           : -0.007036
V573           : -0.015010
V574           : 0.000690
V575           : 0.007469
V576           : -0.022851
V577           : -0.001831
V578           : -0.002920
V579           : -0.005264
V580           : -0.016449
V582           : 0.030389
V583           : 0.006991
V585           : 0.025553
V587           : 0.026197
V589           : -0.063037
V590           : 0.038088
V591           : -0.019566
V592           : -0.007766
V594           : 0.040361
V595           : -0.006178
V597           : 0.017677
V598           : 0.022739
V600           : -0.021030
V602           : 0.025519
V603           : 0.003213
V604           : 0.000356
V605           : 0.004747
V606           : 0.040595
V608           : 0.009670
V610           : -0.011658
V611           : -0.032062
V612           : 0.040229
V613           : 0.011220
V614           : 0.009119
V615           : 0.016781
V616           : -0.022786
V617           : 0.031455
V618           : -0.012915
V619           : 0.015376
V622           : 0.035221
V623           : 0.028581
V624           : -0.036028
V625           : -0.012476
V626           : 0.009790
V627           : 0.001748
V628           : -0.017029
V629           : -0.093426
V630           : 0.008871
V631           : -0.031055
V632           : 0.016342
V633           : 0.003092
V634           : -0.011980
V635           : -0.010007
V636           : 0.020753
V637           : 0.000975
V638           : 0.011247
V639           : -0.001087
V640           : -0.001226
V642           : -0.007514
V643           : -0.028085
V645           : -0.005081
V646           : -0.037368
V648           : 0.032230
V649           : -0.007531
V650           : -0.024006
V651           : 0.017475
V652           : 0.015048
V653           : -0.001868
V659           : -0.028832
V660           : -0.008826
V661           : -0.002485
V662           : -0.019986
V663           : -0.016135
V664           : 0.028020
V666           : 0.008923
V667           : -0.006846
V669           : -0.040611
V670           : -0.013797
V671           : -0.013073
V672           : 0.035369
V673           : 0.025709
V674           : 0.007330
V675           : -0.011838
V677           : -0.005226
V678           : -0.033766
V679           : -0.002386
V680           : -0.001689
V681           : -0.032034
V682           : -0.017691
V683           : 0.000255
V684           : 0.023797
V686           : -0.022952
V687           : -0.020474
V688           : 0.013611
V689           : 0.007786
V690           : 0.005811
V691           : -0.014364
V692           : 0.002740
V693           : -0.014379
V694           : 0.055679
V696           : -0.022640
V697           : -0.021670
V698           : -0.008674
V699           : 0.051558
V700           : 0.010316
V702           : 0.109732
V703           : -0.028420
V704           : 0.012637
V707           : -0.015797
V708           : -0.005125
V709           : 0.012279
V710           : -0.004064
V711           : -0.008959
V712           : -0.013815
V713           : 0.009006
V715           : 0.028131
V716           : -0.000472
V719           : -0.020054
V720           : 0.008337
V722           : -0.059265
V723           : -0.024968
V728           : 0.016758
V729           : -0.000904
V730           : 0.018087
V731           : 0.000811
V735           : 0.029698
V739           : -0.024943
V741           : -0.021573
V744           : 0.007151
V745           : 0.048298
V747           : 0.010858
V748           : -0.004162
V749           : 0.009921
V752           : -0.008169
V753           : 0.002130
V754           : 0.008526
V755           : -0.014240
V756           : -0.027104
V757           : 0.026076
V758           : 0.011212
V759           : 0.021744
V760           : -0.008423
V762           : -0.004131
V763           : -0.002939
V764           : 0.017942
V766           : -0.010667
V768           : 0.002101
V769           : 0.045442
V770           : -0.030836
V771           : -0.020804
V772           : 0.001091
V774           : 0.002139
V775           : 0.000543
V776           : 0.024249
V777           : 0.022986
V778           : 0.021333
V780           : -0.077870
V781           : -0.031414
V782           : -0.021960
V783           : 0.011819
V785           : -0.007958
V786           : 0.008642
V788           : -0.020521
V790           : -0.005240
V791           : 0.001325
V793           : 0.021109
V794           : 0.024817
V795           : -0.004346
V796           : 0.024281
V797           : 0.007757
V798           : -0.033784
V800           : 0.007818
V801           : -0.018985
V803           : -0.008879
V806           : -0.006831
V807           : -0.027636
V808           : 0.014877
V809           : -0.016069
V810           : -0.002788
V811           : 0.037134
V813           : -0.000858
V814           : 0.014238
V815           : -0.002161
V816           : -0.008851
V819           : 0.051118
V822           : 0.032409
V823           : -0.016478
V825           : 0.012658
V826           : -0.009649
V827           : 0.000549
V828           : 0.027776
V829           : -0.013074
V831           : -0.017071
V832           : -0.013620
V833           : 0.000511
V834           : -0.017305
V836           : -0.013542
V837           : -0.008923
V839           : -0.005774
V842           : -0.010234
V843           : -0.001046
V844           : -0.039239
V845           : 0.020358
V846           : -0.042688
V849           : -0.026289
V850           : 0.007110
V851           : 0.005184
V853           : 0.019234
V854           : 0.036693
V856           : 0.003517
V857           : -0.023473
V859           : 0.036999
V860           : 0.003918
V861           : 0.022447
V862           : -0.002922
V863           : -0.016615
V864           : -0.001245
V865           : 0.017396
V867           : -0.022866
V871           : -0.003758
V872           : -0.068590
V873           : 0.006618
V874           : 0.005128
V875           : -0.012703
V876           : -0.016946
V877           : -0.005264
V878           : -0.000761
V880           : -0.010783
V883           : -0.009182
V885           : -0.035012
V886           : -0.018382
V887           : 0.021391
V888           : 0.006530
V889           : 0.011018
V890           : 0.013290
V892           : 0.002045
V893           : -0.019394
V894           : -0.000179
V895           : 0.081862
V896           : -0.016554
V897           : 0.010981
V898           : 0.007826
V899           : -0.002654
V900           : -0.010804
V903           : 0.003639
V904           : -0.014882
V905           : 0.022057
V906           : 0.015447
V907           : 0.026227
V910           : 0.004490
V911           : 0.011926
V913           : -0.003154
V914           : 0.003997
V916           : 0.033114
V917           : 0.074954
V918           : -0.047144
V920           : -0.010754
V921           : -0.009930
V922           : 0.006865
V925           : -0.029255
V926           : -0.009745
V927           : 0.003436
V928           : -0.011359
V929           : -0.004229
V930           : 0.007047
V931           : 0.004557
V933           : -0.023128
V934           : -0.048372
V935           : -0.018286
V936           : 0.023513
V937           : -0.026228
V938           : 0.001329
V939           : 0.012271
V940           : -0.002665
V941           : -0.006379
V942           : -0.014321
V943           : -0.008504
V944           : 0.011565
V945           : 0.004568
V946           : 0.001844
V947           : -0.012013
V948           : -0.042950
V949           : 0.029416
V950           : -0.045218
V951           : 0.050263
V952           : 0.023430
V953           : 0.016580
V954           : 0.013460
V956           : 0.048628
V957           : 0.006589
V961           : -0.058004
V963           : -0.001121
V964           : -0.018863
V965           : -0.025639
V966           : 0.015516
V967           : 0.002224
V968           : -0.021359
V969           : -0.015639
V970           : 0.004727
V972           : -0.018867
V974           : 0.005336
V975           : -0.092190
V976           : 0.029683
V977           : -0.004165
V978           : -0.008317
V979           : -0.003878
V982           : 0.000752
V984           : -0.009241
V985           : 0.015455
V986           : -0.033278
V987           : -0.010027
V988           : 0.001421
V989           : 0.024823
V990           : -0.006253
V991           : 0.004400
V992           : 0.007924
V993           : 0.001306
V994           : -0.047338
V995           : -0.003168
V996           : -0.026277
V997           : -0.003414
V998           : -0.012265
V999           : 0.049749
V1000          : -0.001507
V1001          : -0.004214
V1002          : -0.019156
V1003          : 0.008585
V1005          : 0.012720
V1006          : 0.004732
V1007          : -0.067397
V1008          : -0.046712
V1009          : 0.005879
V1010          : 0.017831
V1011          : 0.007599
V1012          : 0.021574
V1013          : -0.058565
V1014          : -0.031162
V1015          : -0.005550
V1016          : 0.008383
V1017          : -0.012930
V1018          : -0.007229
V1019          : 0.013846
V1020          : -0.014693
V1022          : -0.026622
V1023          : -0.017194
V1024          : -0.055891
V1025          : -0.031533
V1026          : 0.015618
V1027          : -0.001532
V1028          : -0.009033
V1029          : -0.011827
V1030          : 0.009006
V1031          : -0.002507
V1032          : -0.001311
V1033          : -0.034999
V1035          : -0.024468
V1036          : 0.010929
V1037          : 0.005729
V1038          : -0.018735
V1041          : 0.006689
V1043          : 0.002690
V1044          : 0.021520
V1046          : 0.012144
V1047          : 0.024148
V1048          : 0.021484
V1049          : -0.061482
V1050          : 0.018993
V1052          : 0.016581
V1054          : 0.010863
V1055          : -0.007056
V1056          : -0.012956
V1057          : 0.013267
V1058          : 0.024145
V1059          : -0.005207
V1060          : 0.009667
V1061          : -0.009391
V1062          : 0.049897
V1063          : -0.006017
V1064          : 0.027939
V1065          : -0.004096
V1066          : 0.016578
V1070          : -0.015761
V1071          : -0.016307
V1072          : -0.015796
V1073          : -0.006544
V1075          : 0.002406
V1076          : 0.020994
V1077          : 0.005459
V1078          : 0.006543
V1080          : -0.046367
V1082          : -0.000779
V1084          : -0.019532
V1085          : 0.009462
V1086          : -0.024318
V1087          : -0.001481
V1089          : -0.008578
V1091          : 0.012241
V1093          : -0.045875
V1094          : 0.001638
V1095          : -0.012772
V1096          : 0.021332
V1099          : -0.004771
V1101          : 0.021877
V1102          : 0.010138
V1104          : -0.005040
V1105          : -0.015095
V1106          : 0.009181
V1107          : 0.012201
V1108          : 0.018028
V1109          : -0.043245
V1110          : -0.019262
V1114          : -0.042325
V1115          : 0.010118
V1116          : -0.004090
V1117          : 0.005910
V1118          : -0.010297
V1119          : -0.067126
V1120          : -0.011578
V1121          : 0.009134
V1122          : -0.000000
V1123          : 0.017700
V1124          : -0.000954
V1126          : -0.000006
V1127          : -0.008823
V1128          : -0.006051
V1130          : -0.006413
V1131          : -0.012155
V1132          : 0.002090
V1134          : 0.025165
V1136          : -0.002970
V1137          : -0.011721
V1138          : -0.003114
V1139          : -0.004007
V1140          : 0.017832
V1141          : -0.004133
V1142          : 0.000344
V1144          : -0.010156
V1145          : 0.012013
V1147          : 0.007322
